Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,编号
100nF 50V X7R ±10%,贴片电容,"C10,C11,C12,C13,C14,C16,C17,C22,C23,C24,C25,C26,C27,C49,C61,C62,C63,C64,C65,C82,C83,C85,C86",0603,,,,
10kΩ ±1% 100mW,贴片电阻,"R1,R5,R6,R17,R18,R26,R27,R32,R34,R35,R44,R45,R46,R47,R51,R55,R56",0603,,,,
1uF 25V X7R ±10%,贴片电容,"C2,C3,C4,C6,C28,C29,C67,C78,C79,C84",0603,,,,
100pF 50V C0G ±5%,贴片电容,"C21,C30,C36,C38,C39,C45,C54",0402,,,,
1kΩ ±1% 100mW,贴片电阻,"R4,R31,R43",0603,,,,
100nF 25V X7R ±10%,贴片电容,"C37,C52",0402,,,,
4.7kΩ ±1% 100mW,贴片电阻,"R2,R3",0603,,,,
1uF 16V X5R ±10%,贴片电容,"C5,C48",0402,,,,
27Ω ±1% 100mW,贴片电阻,"R9,R10",0603,,,,
47nF 50V X7R ±10%,贴片电容,C70,0603,,,,
180Ω ±1% 100mW,贴片电阻,R38,0603,,,,
470kΩ ±1% 100mW,贴片电阻,R41,0603,,,,
5.62kΩ ±1% 100mW,贴片电阻,R39,0603,,,,
4.7uF 16V X5R ±10%,贴片电容,C15,0603,,,,
100kΩ ±1% 100mW,贴片电阻,R33,0603,,,,
31.6kΩ ±1% 100mW,贴片电阻,R40,0603,,,,
150kΩ ±1% 100mW,贴片电阻,R42,0603,,,,
1nF 50V X7R ±10%,贴片电容,C51,0603,,,,
200pF 50V C0G ±5%,贴片电容,C47,0603,,,,
