Designator,Mid X,Mid Y,Layer,Rotation
C2,85.8520,-99.1110,T,0
C3,70.8100,-98.9180,T,180
C4,78.7400,-97.7900,T,0
C5,85.8520,-96.7230,T,0
C6,92.0920,-97.9220,T,90
C10,60.9600,-92.5700,T,90
C11,64.6300,-87.1850,T,180
C12,56.5320,-87.7280,T,180
C13,59.0550,-92.5700,T,90
C14,64.6310,-89.9010,T,180
C15,59.8970,-99.3140,T,0
C16,64.6300,-92.4560,T,180
C17,71.3740,-81.0260,T,90
C19,88.3920,-69.0880,T,270
C20,79.8000,-69.0880,T,90
C21,103.6000,-59.7000,T,90
C22,93.2180,-75.7500,T,0
C23,91.8000,-81.5500,T,0
C24,80.9270,-80.2000,T,90
C25,83.2500,-71.6000,T,180
C26,78.9268,-74.6139,T,180
C27,77.9000,-82.5500,T,180
C28,83.1000,-83.3120,T,270
C29,80.9000,-83.3120,T,270
C30,102.7680,-67.4620,T,90
C31,111.2520,-62.2300,T,270
C32,114.3000,-62.2300,T,90
C33,120.3960,-63.2460,T,0
C34,117.1190,-73.3810,T,270
C35,115.0870,-71.0950,T,90
C36,106.0000,-64.3000,T,90
C37,113.9070,-77.0410,T,270
C38,111.6210,-77.0410,T,270
C39,118.1770,-92.8250,T,90
C40,110.7440,-94.2340,T,0
C41,115.8910,-97.5240,T,90
C42,115.8910,-95.2380,T,90
C43,115.8910,-92.8250,T,90
C44,112.8270,-96.4690,T,0
C45,110.7440,-90.1700,T,0
C46,104.8950,-78.5450,T,0
C47,104.8950,-80.4460,T,0
C48,107.4000,-64.3000,T,90
C49,76.6500,-75.4000,T,270
C51,76.9620,-81.0260,T,180
C52,99.5680,-82.2960,T,270
C53,93.6000,-62.8650,T,0
C54,103.8860,-61.7220,T,0
C55,97.6360,-66.4970,T,90
C56,95.0190,-66.4970,T,270
C57,68.3260,-81.0260,T,90
C58,57.7350,-76.5290,T,0
C59,57.6400,-69.8500,T,0
C61,102.7430,-99.0600,T,180
C62,105.4100,-98.2980,T,270
C63,107.0790,-84.5840,T,90
C64,100.2160,-85.7840,T,180
C65,98.9500,-94.7420,T,270
C67,103.6470,-85.7840,T,0
C68,113.1570,-84.9630,T,0
C69,110.1090,-84.9630,T,180
C70,135.6550,-80.1560,T,0
C71,133.3690,-78.9750,T,90
C78,134.3660,-94.2340,T,180
C79,130.5600,-65.0400,T,0
C80,136.2750,-74.5650,T,180
C82,91.4000,-67.5500,T,0
C83,91.4000,-69.7500,T,0
C84,110.6750,-80.4500,T,0
C85,113.7000,-80.4500,T,0
C86,123.2000,-89.6000,T,0
D2,101.1430,-72.5930,T,180
D3,117.5000,-89.8650,T,270
D4,139.3000,-75.4000,T,90
D5,139.2600,-77.7500,T,0
F2,121.9200,-92.4560,T,180
F3,98.3490,-71.6790,T,90
F4,60.3250,-75.8970,T,90
F5,60.3250,-69.2060,T,270
J2,53.9500,-75.8970,T,270
J5,118.5160,-86.2580,T,180
J6,106.4750,-67.2590,T,180
J7,90.0000,-61.3400,T,180
J8,53.9500,-69.2360,T,270
L2,57.7350,-75.4300,T,180
L8,119.2780,-90.3220,T,180
L9,112.3190,-94.7930,T,90
L10,110.9220,-95.7330,T,90
L11,118.1770,-97.5240,T,90
L12,118.1770,-95.2380,T,90
L13,110.7440,-92.2020,T,180
L14,101.1430,-70.5610,T,0
L15,57.6430,-68.7220,T,180
Q2,121.9200,-95.7830,T,270
Q3,95.3010,-71.6790,T,180
Q4,63.5000,-75.8970,T,0
Q5,63.5000,-69.2060,T,0
R1,55.2450,-84.4550,T,270
R2,64.1350,-97.7900,T,180
R3,64.1350,-95.2500,T,180
R4,82.0420,-69.0880,T,90
R5,80.0100,-73.1520,T,180
R6,87.8840,-86.3600,T,90
R9,87.8840,-83.3120,T,270
R10,85.3440,-83.3120,T,270
R17,121.8180,-98.7040,T,180
R18,91.4150,-71.3990,T,180
R19,115.0870,-73.3810,T,90
R21,105.0500,-72.5990,T,180
R22,100.2540,-66.4970,T,90
R23,93.2180,-77.2160,T,0
R26,67.3100,-73.6600,T,0
R27,67.3100,-71.1200,T,0
R31,101.6000,-75.6920,T,0
R32,104.9020,-75.6920,T,180
R33,100.9400,-82.7020,T,90
R34,76.9620,-73.1520,T,0
R35,76.9580,-78.4010,T,0
R37,137.0370,-66.4370,T,90
R38,133.1150,-88.1570,T,270
R39,136.1630,-88.1570,T,90
R40,134.6390,-88.1570,T,270
R41,139.0650,-98.5520,T,90
R42,137.4140,-98.5520,T,270
R43,127.5000,-65.0400,T,180
R44,137.0370,-69.4850,T,90
R45,129.2420,-83.9660,T,180
R46,129.2420,-86.5060,T,180
R47,98.5100,-91.6940,T,0
R48,126.8000,-67.0000,T,180
R49,126.8000,-69.4000,T,180
R50,86.5000,-92.7500,T,0
R51,85.5000,-88.5000,T,90
R52,64.4400,-85.0050,T,90
R53,64.2650,-82.9550,T,180
R54,116.5000,-77.0000,T,90
R55,57.4400,-89.7500,T,0
R56,98.5100,-90.0300,T,0
R57,103.9500,-82.5000,T,0
U16,98.0190,-62.9160,T,90
U17,68.6310,-78.0800,T,90
Y2,108.3060,-98.3230,T,90
Y3,111.6330,-86.9950,T,0
ZS1,81.6720,-62.8650,T,0
