Designator,Mid X,Mid Y,Layer,Rotation
C10,60.9600,-92.5700,T,90
C11,64.6300,-87.1850,T,180
C12,56.5320,-87.7280,T,180
C13,59.0550,-92.5700,T,90
C14,64.6310,-89.9010,T,180
C16,64.6300,-92.4560,T,180
C17,71.3740,-81.0260,T,90
C22,93.2180,-75.7500,T,0
C23,91.8000,-81.5500,T,0
C24,80.9270,-80.2000,T,90
C25,83.2500,-71.6000,T,180
C26,78.9268,-74.6139,T,180
C27,77.9000,-82.5500,T,180
C49,76.6500,-75.4000,T,270
C61,102.7430,-99.0600,T,180
C62,105.4100,-98.2980,T,270
C63,107.0790,-84.5840,T,90
C64,100.2160,-85.7840,T,180
C65,98.9500,-94.7420,T,270
C82,91.4000,-67.5500,T,0
C83,91.4000,-69.7500,T,0
C85,113.7000,-80.4500,T,0
C86,123.2000,-89.6000,T,0
