Designator,Mid X,Mid Y,Layer,Rotation
C2,85.8520,-99.1110,T,0
C3,70.8100,-98.9180,T,180
C4,78.7400,-97.7900,T,0
C5,85.8520,-96.7230,T,0
C6,92.0920,-97.9220,T,90
C10,60.9600,-92.5700,T,90
C11,64.6300,-87.1850,T,180
C12,56.5320,-87.7280,T,180
C13,59.0550,-92.5700,T,90
C14,64.6310,-89.9010,T,180
C15,59.8970,-99.3140,T,0
C16,64.6300,-92.4560,T,180
C17,71.3740,-81.0260,T,90
C22,94.5180,-79.5020,T,0
C23,94.5180,-74.9300,T,0
C24,80.0100,-78.4010,T,180
C25,82.8040,-85.0900,T,270
C26,80.0100,-75.7770,T,180
C27,93.2180,-81.7880,T,0
C28,81.2800,-82.8040,T,180
C29,80.0100,-81.0260,T,180
C30,102.7684,-67.4624,T,90
C37,113.9070,-77.0408,T,270
C38,111.6210,-77.0408,T,270
C39,118.1770,-92.8250,T,90
C45,110.7440,-90.1700,T,0
C47,104.8950,-80.4460,T,0
C49,76.9580,-75.7770,T,180
C51,76.9620,-81.0260,T,180
C52,99.5680,-82.2960,T,270
C54,103.8860,-61.7220,T,0
C61,102.7430,-99.0600,T,180
C62,105.4100,-98.2980,T,270
C63,107.0790,-84.5840,T,90
C64,100.2160,-85.7840,T,180
C65,99.0600,-94.7420,T,270
C67,103.6470,-85.7840,T,0
C70,135.6550,-80.1560,T,0
C71,133.3690,-78.9750,T,90
C78,134.3660,-94.2340,T,180
C79,130.5600,-65.0400,T,0
C80,136.2750,-74.5650,T,180
R1,55.2450,-84.4550,T,270
R2,64.1350,-97.7900,T,180
R3,64.1350,-95.2500,T,180
R4,82.0420,-69.0880,T,90
R5,80.0100,-73.1520,T,180
R6,87.8840,-86.3600,T,90
R7,145.5870,-64.7760,T,270
R8,143.5870,-64.7760,T,270
R9,87.8840,-83.3120,T,270
R10,85.3440,-83.3120,T,270
R17,121.8180,-98.7040,T,180
R18,91.4146,-71.3988,T,180
R26,67.3100,-73.6600,T,0
R27,67.3100,-71.1200,T,0
R30,96.7740,-77.2090,T,180
R31,101.6000,-75.6920,T,0
R32,104.9020,-75.6920,T,180
R33,100.9396,-82.7024,T,90
R34,76.9620,-73.1520,T,0
R35,76.9580,-78.4010,T,0
R36,96.5200,-81.7880,T,180
R37,137.0370,-66.4370,T,90
R38,133.1150,-88.1570,T,270
R39,136.1630,-88.1570,T,90
R40,134.6390,-88.1570,T,270
R41,139.0650,-98.5520,T,90
R42,137.4140,-98.5520,T,270
R43,136.2750,-72.0250,T,180
R44,137.0370,-69.4850,T,90
R45,129.2420,-83.9660,T,180
R46,129.2420,-86.5060,T,180
